SMILES,SPLIT
CN(C)C=CCC(=O)N1CCc2c(sc3ncnc(NC(CO)c4ccccc4)c23)C1,train
Clc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Br)c4)c23)c1,train
CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCC,test
CCOc1cc2ncc(C#N)c(Nc3ccc4c(ccn4Cc4ccccc4)c3)c2cc1NC(=O)C=CCN(C)C,test
CCOc1cc2ncc(C#N)c(Nc3ccc(Oc4ccccc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCN(CC)CCN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,train
CCCCN(c1ccc(OC)cc1)c1nc(C)nc2oc(C)cc12,train
Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(F)cc1,train
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,train
Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,train
Cc1cccc(Nc2ncnc3ccccc23)c1,train
Cc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,train
Cc1ccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)cc1,train
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,train
CC(CCOC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O)CC(C)(C)C,train
CC(CCOC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O)c1ccccc1,train
CC(C)CCCC(C)CCOC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,train
CC(C)(C)OC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,train
CC#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,train
c1ccc(CNc2ncnc3cccnc23)cc1,train
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1OCCOC,train
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCCN(C)C)c(Br)c3)c2c1,train
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2n1,train
C=CC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,train
C=CC(=O)N1CCc2c(sc3ncnc(NC(C)c4ccccc4)c23)C1,train
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,train
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(O)=NO)ccc2O)c1,train
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,train
OCC(O)C(O)C(O)C(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,train
Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,train
Oc1ccc(CN(Cc2cc(Cl)cc(Cl)c2O)C(=S)Nc2ccccc2)cc1,train
O=c1oc2cc3ncnc(Nc4ccc5n[nH]cc5c4)c3cc2n1CCCN1CCOCC1,train
O=C1N=c2ncccc2=C1c1[nH]c2ncccc2c1O,train
